Time,E1,E2,E3,E4
0:00:00,37,397,774,1028
0:01:00,41,459,829,1174
0:02:00,33,476,859,1212
0:03:00,37,534,913,1328
0:04:00,33,542,972,1428
0:05:00,32,600,1101,1452
0:06:00,38,587,1133,1594
0:07:00,38,619,1162,1611
0:08:00,32,618,1203,1630
0:09:00,38,661,1260,1688
0:10:00,34,678,1257,1725
0:11:00,36,685,1252,1801
0:12:00,39,684,1299,1800
0:13:00,34,675,1315,1858
0:14:00,30,702,1351,1890
0:15:00,38,706,1330,1907
0:16:00,41,733,1358,1925
0:17:00,41,702,1409,1910
0:18:00,42,734,1418,1975
0:19:00,34,764,1382,2021
0:20:00,37,743,1464,1974
0:21:00,34,730,1436,2037
0:22:00,28,775,1460,2002
0:23:00,39,756,1484,2088
0:24:00,38,747,1451,2100
0:25:00,34,745,1493,2145
0:26:00,38,772,1500,2109
0:27:00,35,757,1472,2108
0:28:00,35,784,1521,2157
0:29:00,37,792,1471,2157
0:30:00,39,771,1511,2174
0:31:00,36,792,1519,2180
0:32:00,34,784,1509,2213
0:33:00,35,786,1548,2177
0:34:00,39,767,1560,2201
0:35:00,32,797,1536,2190
0:36:00,36,762,1536,2197
0:37:00,38,782,1524,2203
0:38:00,36,779,1567,2265
0:39:00,39,819,1514,2210
0:40:00,32,823,1567,2230
0:41:00,31,792,1502,2266
0:42:00,35,788,1544,2201
0:43:00,38,807,1527,2225
0:44:00,39,785,1545,2280
0:45:00,26,785,1523,2261
0:46:00,30,796,1606,2200
0:47:00,34,751,1514,2265
0:48:00,36,781,1557,2340
0:49:00,40,798,1636,2291
0:50:00,37,808,1544,2297
0:51:00,36,794,1567,2274
0:52:00,31,812,1530,2312
0:53:00,34,810,1565,2285
0:54:00,33,809,1584,2303
0:55:00,32,791,1543,2287
0:56:00,42,788,1555,2305
0:57:00,33,800,1569,2298
0:58:00,35,783,1543,2283
0:59:00,35,807,1570,2315
1:00:00,34,766,1546,2297
1:01:00,32,790,1603,2345
1:02:00,37,799,1566,2291
1:03:00,39,767,1545,2328
1:04:00,39,773,1561,2313
1:05:00,40,795,1547,2332
1:06:00,30,796,1567,2343
1:07:00,34,813,1613,2281
1:08:00,37,775,1528,2326
1:09:00,48,793,1548,2347
1:10:00,44,797,1591,2338
1:11:00,37,811,1581,2315
1:12:00,41,810,1540,2291
1:13:00,25,765,1587,2353
1:14:00,36,748,1552,2331
1:15:00,34,801,1552,2360
1:16:00,37,792,1586,2329
1:17:00,32,760,1550,2288
1:18:00,34,807,1584,2287
1:19:00,31,788,1581,2320
1:20:00,34,782,1583,2245
1:21:00,34,811,1524,2335
1:22:00,42,770,1650,2310
1:23:00,33,765,1549,2342
1:24:00,38,778,1562,2344
1:25:00,33,796,1531,2321
1:26:00,33,803,1535,2338
1:27:00,36,776,1565,2298
1:28:00,41,818,1589,2323
1:29:00,38,822,1540,2331
1:30:00,36,800,1586,2323
1:31:00,36,781,1589,2363
1:32:00,32,765,1580,2339
1:33:00,35,790,1542,2336
1:34:00,36,802,1565,2347
1:35:00,34,800,1570,2327
1:36:00,34,791,1575,2328
1:37:00,31,786,1569,2297
1:38:00,41,801,1559,2400
1:39:00,33,810,1550,2352
1:40:00,33,811,1598,2328
1:41:00,31,770,1604,2348
1:42:00,33,782,1621,2363
1:43:00,39,789,1548,2373
1:44:00,37,791,1552,2354
1:45:00,32,790,1582,2359
1:46:00,35,831,1554,2354
1:47:00,39,816,1584,2347
1:48:00,42,790,1559,2320
1:49:00,33,792,1564,2375
1:50:00,37,814,1568,2322
1:51:00,35,786,1528,2369
1:52:00,42,809,1587,2331
1:53:00,36,804,1615,2335
1:54:00,33,787,1554,2304
1:55:00,33,792,1559,2275
1:56:00,39,823,1553,2341
1:57:00,28,803,1595,2342
1:58:00,32,815,1562,2322
1:59:00,34,779,1596,2382
2:00:00,38,788,1542,2360
2:01:00,36,792,1592,2371
2:02:00,34,804,1550,2343
2:03:00,38,801,1579,2339
2:04:00,34,814,1574,2373
2:05:00,37,828,1581,2314
2:06:00,28,816,1602,2341
2:07:00,33,779,1556,2397
2:08:00,40,785,1573,2323
2:09:00,39,798,1600,2341
2:10:00,41,791,1579,2322
2:11:00,30,809,1565,2363
2:12:00,44,806,1604,2359
2:13:00,37,801,1572,2390
2:14:00,33,781,1525,2385
2:15:00,43,794,1605,2376
2:16:00,32,796,1579,2365
2:17:00,41,771,1636,2366
2:18:00,41,796,1559,2323
2:19:00,32,763,1517,2442
2:20:00,36,807,1539,2344
2:21:00,35,815,1580,2381
2:22:00,34,775,1594,2382
2:23:00,36,785,1574,2391
2:24:00,34,827,1555,2391
2:25:00,31,792,1608,2403
2:26:00,35,849,1543,2317
2:27:00,41,797,1607,2365
2:28:00,35,819,1607,2354
2:29:00,41,761,1597,2321
2:30:00,34,833,1593,2346
